"estado","producto","prod_count"
" COL. EDUARDO GUERRA","REFRESCO",275
" ESQ. SUR 125""","PAN BLANCO BOLILLO",130
"AGUASCALIENTES","FUD",12005
"BAJA CALIFORNIA","REFRESCO",37243
"BAJA CALIFORNIA SUR","REFRESCO",27770
"CAMPECHE","FUD",12960
"CHIAPAS","REFRESCO",14452
"CHIHUAHUA","DETERGENTE P/ROPA",15982
"COAHUILA DE ZARAGOZA","FUD",28613
"COLIMA","DETERGENTE P/ROPA",17193
"DISTRITO FEDERAL","REFRESCO",287463
"DURANGO","DETERGENTE P/ROPA",9696
"GUANAJUATO","REFRESCO",49441
"GUERRERO","REFRESCO",8932
"HIDALGO","REFRESCO",18137
"JALISCO","REFRESCO",81718
"MÉXICO","REFRESCO",194939
"MICHOACÁN DE OCAMPO","DETERGENTE P/ROPA",40144
"MORELOS","REFRESCO",9632
"NAYARIT","REFRESCO",8003
"NUEVO LEÓN","DETERGENTE P/ROPA",50307
"OAXACA","LECHE ULTRAPASTEURIZADA",18078
"PUEBLA","REFRESCO",31597
"QUERÉTARO","LECHE ULTRAPASTEURIZADA",27868
"QUINTANA ROO","FUD",34846
"SAN LUIS POTOSÍ","FUD",10164
"SINALOA","REFRESCO",33115
"SONORA","REFRESCO",34731
"TABASCO","REFRESCO",28754
"TAMAULIPAS","REFRESCO",22457
"TLAXCALA","REFRESCO",43904
"VERACRUZ DE IGNACIO DE LA LLAVE","REFRESCO",14576
"YUCATÁN","LECHE ULTRAPASTEURIZADA",35991
"ZACATECAS","DETERGENTE P/ROPA",20884
NA,"LECHE ULTRAPASTEURIZADA",804
